name,com,app,money,io,cash,free_count
ahlan,REG,?,?,?,FREE,1
alohaclan,FREE,FREE,FREE,FREE,FREE,5
alohafam,FREE,FREE,REG,FREE,FREE,4
alohakin,FREE,FREE,FREE,FREE,REG,4
alohaklan,FREE,FREE,FREE,FREE,FREE,5
alohapeer,FREE,FREE,REG,FREE,FREE,4
aloharing,FREE,FREE,FREE,FREE,REG,4
apna,REG,?,?,?,FREE,1
bandbump,FREE,FREE,FREE,FREE,FREE,5
bandfling,FREE,FREE,REG,FREE,FREE,4
bandona,FREE,FREE,FREE,FREE,REG,4
bandspread,FREE,FREE,FREE,FREE,FREE,5
bankclan,FREE,FREE,REG,FREE,FREE,4
bankfam,FREE,FREE,FREE,FREE,REG,4
bankfling,FREE,FREE,FREE,FREE,FREE,5
bankfolk,FREE,FREE,REG,FREE,FREE,4
bankgive,FREE,FREE,FREE,FREE,REG,4
bankposse,FREE,FREE,FREE,FREE,FREE,5
bankshoot,FREE,FREE,REG,FREE,FREE,4
banksplit,FREE,FREE,FREE,FREE,REG,4
bankspread,FREE,FREE,FREE,FREE,FREE,5
bankufy,FREE,FREE,REG,FREE,FREE,4
baytna,REG,?,?,?,FREE,1
beamafy,FREE,FREE,FREE,FREE,REG,4
beamaly,FREE,FREE,FREE,FREE,FREE,5
beamana,FREE,FREE,REG,FREE,FREE,4
beamara,FREE,FREE,FREE,FREE,REG,4
beamfellow,FREE,FREE,FREE,FREE,FREE,5
beamfity,FREE,FREE,REG,FREE,FREE,4
beamfriend,FREE,FREE,FREE,FREE,REG,4
beamgang,FREE,FREE,FREE,FREE,FREE,5
beamkin,FREE,FREE,REG,FREE,FREE,4
beamklan,FREE,FREE,FREE,FREE,REG,4
beamoso,FREE,FREE,FREE,FREE,FREE,5
beampeer,FREE,FREE,REG,FREE,FREE,4
beamposse,FREE,FREE,FREE,FREE,REG,4
beamvity,FREE,FREE,FREE,FREE,FREE,5
befling,FREE,FREE,REG,FREE,FREE,4
beslide,FREE,FREE,FREE,FREE,REG,4
blastaly,FREE,FREE,FREE,FREE,FREE,5
blastana,FREE,FREE,REG,FREE,FREE,4
blastbuck,FREE,FREE,FREE,FREE,REG,4
blastclan,FREE,FREE,FREE,FREE,FREE,5
blastfam,FREE,FREE,REG,FREE,FREE,4
blastfellow,FREE,FREE,FREE,FREE,REG,4
blastfolk,FREE,FREE,FREE,FREE,FREE,5
blastfriend,FREE,FREE,REG,FREE,FREE,4
blastgang,FREE,FREE,FREE,FREE,REG,4
blastia,FREE,FREE,FREE,FREE,FREE,5
blastkin,FREE,FREE,REG,FREE,FREE,4
blastklan,FREE,FREE,FREE,FREE,REG,4
blastpeer,FREE,FREE,FREE,FREE,FREE,5
blastposse,FREE,FREE,REG,FREE,FREE,4
blastsity,FREE,FREE,FREE,FREE,REG,4
blaststa,FREE,FREE,FREE,FREE,FREE,5
blastster,FREE,FREE,REG,FREE,FREE,4
blastufy,FREE,FREE,FREE,FREE,REG,4
blastvity,FREE,FREE,FREE,FREE,FREE,5
buckafy,FREE,FREE,REG,FREE,FREE,4
buckara,FREE,FREE,FREE,FREE,REG,4
buckbump,FREE,FREE,FREE,FREE,FREE,5
buckema,FREE,FREE,REG,FREE,FREE,4
buckena,FREE,FREE,FREE,FREE,REG,4
buckfling,FREE,FREE,FREE,FREE,FREE,5
buckfolk,FREE,FREE,REG,FREE,FREE,4
buckfriend,FREE,FREE,FREE,FREE,REG,4
buckgang,FREE,FREE,FREE,FREE,FREE,5
buckgive,FREE,FREE,REG,FREE,FREE,4
buckico,FREE,FREE,FREE,FREE,REG,4
buckkin,FREE,FREE,FREE,FREE,FREE,5
buckmove,FREE,FREE,REG,FREE,FREE,4
buckona,FREE,FREE,FREE,FREE,REG,4
buckoro,FREE,FREE,FREE,FREE,FREE,5
buckoso,FREE,FREE,REG,FREE,FREE,4
buckpeer,FREE,FREE,FREE,FREE,REG,4
buckping,FREE,FREE,FREE,FREE,FREE,5
buckposse,FREE,FREE,REG,FREE,FREE,4
buckroute,FREE,FREE,FREE,FREE,REG,4
buckshoot,FREE,FREE,FREE,FREE,FREE,5
bucksplit,FREE,FREE,REG,FREE,FREE,4
buckspread,FREE,FREE,FREE,FREE,REG,4
buckswipe,FREE,FREE,FREE,FREE,FREE,5
buckufy,FREE,FREE,REG,FREE,FREE,4
buckzap,FREE,FREE,FREE,FREE,REG,4
buddyafy,FREE,FREE,FREE,FREE,FREE,5
buddyaly,FREE,FREE,REG,FREE,FREE,4
buddyana,FREE,FREE,FREE,FREE,REG,4
buddyara,FREE,FREE,FREE,FREE,FREE,5
buddyaro,FREE,FREE,REG,FREE,FREE,4
buddycoin,FREE,FREE,FREE,FREE,REG,4
buddyely,FREE,FREE,FREE,FREE,FREE,5
buddyema,FREE,FREE,REG,FREE,FREE,4
buddyfling,FREE,FREE,FREE,FREE,REG,4
buddygive,FREE,FREE,FREE,FREE,FREE,5
buddyia,FREE,FREE,REG,FREE,FREE,4
buddyico,FREE,FREE,FREE,FREE,REG,4
buddyio,FREE,FREE,FREE,FREE,FREE,5
buddyona,FREE,FREE,REG,FREE,FREE,4
buddyoro,FREE,FREE,FREE,FREE,REG,4
buddyoso,FREE,FREE,FREE,FREE,FREE,5
buddypay,PARKED,REG,FREE,FREE,FREE,3
buddypush,FREE,FREE,REG,FREE,FREE,4
buddysend,PARKED,FREE,FREE,FREE,FREE,4
buddyslide,FREE,FREE,FREE,FREE,REG,4
buddyspread,FREE,FREE,FREE,FREE,FREE,5
buddytip,REG,FREE,FREE,FREE,FREE,4
buddywire,PARKED,FREE,FREE,FREE,FREE,4
bumpafy,FREE,FREE,REG,FREE,FREE,4
bumpana,FREE,FREE,FREE,FREE,REG,4
bumpara,FREE,FREE,FREE,FREE,FREE,5
bumparo,FREE,FREE,REG,FREE,FREE,4
bumpclan,FREE,FREE,FREE,FREE,REG,4
bumpely,FREE,FREE,FREE,FREE,FREE,5
bumpema,FREE,FREE,REG,FREE,FREE,4
bumpena,FREE,FREE,FREE,FREE,REG,4
bumpfam,FREE,FREE,FREE,FREE,FREE,5
bumpfellow,FREE,FREE,REG,FREE,FREE,4
bumpfity,FREE,FREE,FREE,FREE,REG,4
bumpfolk,FREE,FREE,FREE,FREE,FREE,5
bumpfriend,FREE,FREE,REG,FREE,FREE,4
bumpgang,FREE,FREE,FREE,FREE,REG,4
bumpgold,FREE,FREE,FREE,FREE,FREE,5
bumpico,FREE,FREE,REG,FREE,FREE,4
bumpmint,FREE,FREE,FREE,FREE,REG,4
bumpona,FREE,FREE,FREE,FREE,FREE,5
bumporo,FREE,FREE,REG,FREE,FREE,4
bumposo,FREE,FREE,FREE,FREE,REG,4
bumppal,FREE,FREE,FREE,FREE,FREE,5
bumppeer,FREE,FREE,REG,FREE,FREE,4
bumpposse,FREE,FREE,FREE,FREE,REG,4
bumpsity,FREE,FREE,FREE,FREE,FREE,5
bumpufy,FREE,FREE,REG,FREE,FREE,4
bumpvity,FREE,FREE,FREE,FREE,REG,4
cashday,PARKED,REG,FREE,PARKED,FREE,2
cashklan,FREE,FREE,FREE,FREE,FREE,5
cashposse,FREE,FREE,REG,FREE,FREE,4
cashufy,FREE,FREE,FREE,FREE,REG,4
castbuck,FREE,FREE,FREE,FREE,FREE,5
castclan,FREE,FREE,REG,FREE,FREE,4
castfellow,FREE,FREE,FREE,FREE,REG,4
castfity,FREE,FREE,FREE,FREE,FREE,5
castfolk,FREE,FREE,REG,FREE,FREE,4
castfriend,FREE,FREE,FREE,FREE,REG,4
castgang,FREE,FREE,FREE,FREE,FREE,5
castkin,FREE,FREE,REG,FREE,FREE,4
castklan,FREE,FREE,FREE,FREE,REG,4
castoso,FREE,FREE,FREE,FREE,FREE,5
castposse,FREE,FREE,REG,FREE,FREE,4
castsity,FREE,FREE,FREE,FREE,REG,4
caststa,FREE,FREE,FREE,FREE,FREE,5
castufy,FREE,FREE,REG,FREE,FREE,4
castvity,FREE,FREE,FREE,FREE,REG,4
cercle,REG,?,?,?,FREE,1
ciao,REG,REG,?,?,FREE,1
ciaobuck,FREE,FREE,FREE,FREE,FREE,5
ciaocircle,FREE,FREE,REG,FREE,FREE,4
ciaocrew,FREE,FREE,FREE,FREE,REG,4
ciaofellow,FREE,FREE,FREE,FREE,FREE,5
ciaofriend,FREE,FREE,REG,FREE,FREE,4
ciaogang,FREE,FREE,FREE,FREE,REG,4
ciaokin,FREE,FREE,FREE,FREE,FREE,5
ciaoklan,FREE,FREE,REG,FREE,FREE,4
ciaomint,FREE,FREE,FREE,FREE,REG,4
ciaoparty,FREE,FREE,FREE,FREE,FREE,5
ciaopeer,FREE,FREE,REG,FREE,FREE,4
ciaoposse,FREE,FREE,FREE,FREE,REG,4
ciaotribe,FREE,FREE,FREE,FREE,FREE,5
circlealy,FREE,FREE,REG,FREE,FREE,4
circleana,FREE,FREE,FREE,FREE,REG,4
circlearo,FREE,FREE,FREE,FREE,FREE,5
circlebump,FREE,FREE,REG,FREE,FREE,4
circleely,FREE,FREE,FREE,FREE,REG,4
circleema,FREE,FREE,FREE,FREE,FREE,5
circleena,FREE,FREE,REG,FREE,FREE,4
circleico,FREE,FREE,FREE,FREE,REG,4
circleona,FREE,FREE,FREE,FREE,FREE,5
circleoro,FREE,FREE,REG,FREE,FREE,4
circleoso,FREE,FREE,FREE,FREE,REG,4
circlepush,FREE,FREE,FREE,FREE,FREE,5
circleshoot,FREE,FREE,REG,FREE,FREE,4
circleufy,FREE,FREE,FREE,FREE,REG,4
clanafy,FREE,FREE,FREE,FREE,FREE,5
clanaly,FREE,FREE,REG,FREE,FREE,4
clanara,FREE,FREE,FREE,FREE,REG,4
clanaro,FREE,FREE,FREE,FREE,FREE,5
clanbeam,FREE,FREE,REG,FREE,FREE,4
clanblast,FREE,FREE,FREE,FREE,REG,4
clanbump,FREE,FREE,FREE,FREE,FREE,5
clanely,FREE,FREE,REG,FREE,FREE,4
clanema,FREE,FREE,FREE,FREE,REG,4
clanena,FREE,FREE,FREE,FREE,FREE,5
clanfling,FREE,FREE,REG,FREE,FREE,4
clangive,FREE,FREE,FREE,FREE,REG,4
